config,img_url,model,price_high,price_low
Ціни,https://s.ek.ua/jpg/2177284.jpg,Samsung Galaxy Tab S8,256ГБ 5G,256ГБ
Відео,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,256ГБ 5G,256ГБ
Фото,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,256ГБ 5G,256ГБ
Обговорення,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,256ГБ 5G,256ГБ
Огляди,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,256ГБ 5G,256ГБ
Ціни,https://s.ek.ua/jpg/2293885.jpg,Apple iPad,256ГБ 5G,256ГБ
Відео,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,128ГБ,64ГБ
Фото,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,128ГБ,64ГБ
Обговорення,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,128ГБ,64ГБ
Ціни,https://s.ek.ua/jpg/2325012.jpg,Lenovo XiaoXin Pad,128ГБ,64ГБ
Відгуки,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,128ГБ LTE,128ГБ
Відео,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,128ГБ LTE,128ГБ
Фото,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,128ГБ LTE,128ГБ
Обговорення,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,128ГБ LTE,128ГБ
Огляди,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,128ГБ LTE,128ГБ
Ціни,https://s.ek.ua/jpg/2085874.jpg,Realme Pad,128ГБ LTE,128ГБ
Відгуки,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Відео,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Фото,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Огляди,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Ціни,https://s.ek.ua/jpg/2293945.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Відео,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,Корпус:,Акумулятор:
Обговорення,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2296139.jpg,Doogee T10,Корпус:,Акумулятор:
Відгуки,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,128ГБ 4G,64ГБ 4G
Відео,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,128ГБ 4G,64ГБ 4G
Фото,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,128ГБ 4G,64ГБ 4G
Обговорення,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,128ГБ 4G,64ГБ 4G
Ціни,https://s.ek.ua/jpg/2202392.jpg,Samsung Galaxy Tab S6 Lite,128ГБ 4G,64ГБ 4G
3D,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,128ГБ LTE,128ГБ
Відгуки,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,128ГБ LTE,128ГБ
Відео,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,128ГБ LTE,128ГБ
Фото,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,128ГБ LTE,128ГБ
Обговорення,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,128ГБ LTE,128ГБ
Ціни,https://s.ek.ua/jpg/2148949.jpg,Samsung Galaxy Tab A8 10.5,128ГБ LTE,128ГБ
Відео,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,Корпус:,Акумулятор:
Обговорення,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2298761.jpg,Blackview Tab 15,Корпус:,Акумулятор:
Відео,https://s.ek.ua/jpg/2342230.jpg,Oscal Pad 10,Корпус:,Акумулятор:
Фото,https://s.ek.ua/jpg/2342230.jpg,Oscal Pad 10,Корпус:,Акумулятор:
Ціни,https://s.ek.ua/jpg/2342230.jpg,Oscal Pad 10,Корпус:,Акумулятор:
3D,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Відгуки,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Відео,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Фото,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Обговорення,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Огляди,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Ціни,https://s.ek.ua/jpg/2033636.jpg,Samsung Galaxy Tab S7 FE 12.4,128ГБ LTE,128ГБ
Відгуки,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Відео,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Фото,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Обговорення,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Ціни,https://s.ek.ua/jpg/2005172.jpg,Apple iPad Pro 11,2ТБ 5G,2ТБ
Відео,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,256ГБ,128ГБ
Фото,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,256ГБ,128ГБ
Огляди,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,256ГБ,128ГБ
Ціни,https://s.ek.ua/jpg/2437753.jpg,Lenovo Legion Y700,256ГБ,128ГБ
Відео,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Фото,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Огляди,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
Ціни,https://s.ek.ua/jpg/2274799.jpg,Lenovo Tab M10 Plus 3rd Gen,128ГБ ОЗП 6 ГБ,128ГБ ОЗП 4 ГБ
